"year","station_id","yearly_msl"
1999,"San Diego, CA","-0.054"
1999,"Clearwater Beach, FL","0.036"
1999,"Lewisetta,VA","0.057"
2000,"Honolulu, HI","-0.023"
2000,"San Diego, CA","-0.039"
2000,"Waveland, MS","-0.017"
2000,"Pulaski, GA","0.034"
2000,"South Beach, OR","-0.016"
2000,"Rockport, TX","-0.063"
2000,"Seavy Island, ME","-0.004"
2000,"Lewisetta,VA","0.016"
2000,"Clearwater Beach, FL","0.007"
2001,"Rockport, TX","-0.043"
2001,"Honolulu, HI","-0.008"
2001,"South Beach, OR","-0.040"
2001,"Waveland, MS","0.011"
2001,"Clearwater Beach, FL","-0.026"
2001,"Dauphin Island, AL","0.046"
2001,"Seavy Island, ME","-0.009"
2001,"Pulaski, GA","0.009"
2001,"Lewisetta,VA","0.025"
2001,"San Diego, CA","-0.033"
2002,"San Diego, CA","-0.021"
2002,"Honolulu, HI","-0.013"
2002,"Clearwater Beach, FL","0.011"
2002,"Pulaski, GA","0.023"
2002,"Rockport, TX","0.034"
2002,"Lewisetta,VA","0.004"
2002,"South Beach, OR","-0.017"
2002,"Dauphin Island, AL","0.024"
2002,"Waveland, MS","0.064"
2003,"Seavy Island, ME","-0.012"
2003,"Clearwater Beach, FL","0.030"
2003,"Honolulu, HI","0.060"
2003,"South Beach, OR","0.037"
2003,"San Diego, CA","0.007"
2003,"Dauphin Island, AL","0.079"
2003,"Lewisetta,VA","0.068"
2003,"Rockport, TX","-0.004"
2003,"Pulaski, GA","-0.002"
2003,"Waveland, MS","0.057"
2004,"Clearwater Beach, FL","0.022"
2004,"South Beach, OR","0.023"
2004,"San Diego, CA","0.018"
2004,"Honolulu, HI","0.060"
2004,"Lewisetta,VA","0.066"
2004,"Seavy Island, ME","-0.027"
2004,"Waveland, MS","0.034"
2004,"Dauphin Island, AL","0.032"
2004,"Pulaski, GA","-0.014"
2004,"Rockport, TX","0.011"
2005,"Seavy Island, ME","0.033"
2005,"Lewisetta,VA","0.118"
2005,"Honolulu, HI","0.030"
2005,"Clearwater Beach, FL","0.038"
2005,"Dauphin Island, AL","0.072"
2005,"San Diego, CA","0.013"
2005,"South Beach, OR","0.030"
2005,"Waveland, MS","0.081"
2005,"Rockport, TX","0.015"
2005,"Pulaski, GA","0.071"
2006,"Clearwater Beach, FL","0.012"
2006,"Seavy Island, ME","0.022"
2006,"South Beach, OR","0.044"
2006,"San Diego, CA","0.021"
2006,"Lewisetta,VA","0.087"
2006,"Pulaski, GA","0.005"
2006,"Dauphin Island, AL","0.000"
2006,"Waveland, MS","-0.020"
2006,"Honolulu, HI","0.059"
2006,"Rockport, TX","-0.055"
2007,"Pulaski, GA","0.052"
2007,"South Beach, OR","-0.032"
2007,"Seavy Island, ME","-0.011"
2007,"San Diego, CA","-0.020"
2007,"Honolulu, HI","0.021"
2007,"Rockport, TX","0.056"
2007,"Clearwater Beach, FL","0.014"
2007,"Lewisetta,VA","0.050"
2007,"Waveland, MS","0.021"
2007,"Dauphin Island, AL","0.003"
2008,"Dauphin Island, AL","0.036"
2008,"Seavy Island, ME","0.008"
2008,"Pulaski, GA","0.019"
2008,"Waveland, MS","0.042"
2008,"Lewisetta,VA","0.078"
2008,"Honolulu, HI","0.029"
2008,"Clearwater Beach, FL","0.035"
2008,"San Diego, CA","0.013"
2008,"South Beach, OR","-0.015"
2008,"Rockport, TX","0.029"
2009,"Pulaski, GA","0.055"
2009,"Clearwater Beach, FL","0.065"
2009,"Dauphin Island, AL","0.088"
2009,"Honolulu, HI","-0.018"
2009,"San Diego, CA","0.031"
2009,"Waveland, MS","0.066"
2009,"Rockport, TX","0.009"
2009,"Lewisetta,VA","0.127"
2009,"Seavy Island, ME","0.026"
2009,"South Beach, OR","0.005"
2010,"Seavy Island, ME","0.093"
2010,"Honolulu, HI","0.005"
2010,"Lewisetta,VA","0.142"
2010,"Waveland, MS","0.039"
2010,"Clearwater Beach, FL","0.047"
2010,"San Diego, CA","0.017"
2010,"Pulaski, GA","0.026"
2010,"Rockport, TX","0.043"
2010,"Dauphin Island, AL","0.053"
2010,"South Beach, OR","0.063"
2011,"South Beach, OR","0.012"
2011,"Rockport, TX","-0.010"
2011,"Lewisetta,VA","0.151"
2011,"Honolulu, HI","0.002"
2011,"Pulaski, GA","0.034"
2011,"San Diego, CA","0.017"
2011,"Seavy Island, ME","0.060"
2011,"Dauphin Island, AL","0.042"
2011,"Clearwater Beach, FL","0.045"
2011,"Waveland, MS","0.017"
2012,"Seavy Island, ME","0.036"
2012,"Rockport, TX","0.040"
2012,"Waveland, MS","0.107"
2012,"Clearwater Beach, FL","0.109"
2012,"Dauphin Island, AL","0.107"
2012,"Lewisetta,VA","0.141"
2012,"Pulaski, GA","0.068"
2012,"Honolulu, HI","0.005"
2012,"San Diego, CA","0.041"
2012,"South Beach, OR","0.065"
2013,"San Diego, CA","0.037"
2013,"Honolulu, HI","0.018"
2013,"Waveland, MS","0.099"
2013,"Dauphin Island, AL","0.109"
2013,"Lewisetta,VA","0.111"
2013,"Seavy Island, ME","0.025"
2013,"South Beach, OR","-0.042"
2013,"Pulaski, GA","0.095"
2013,"Clearwater Beach, FL","0.086"
2013,"Rockport, TX","0.059"
2014,"Waveland, MS","0.040"
2014,"Honolulu, HI","0.038"
2014,"South Beach, OR","0.084"
2014,"Dauphin Island, AL","0.073"
2014,"Seavy Island, ME","0.021"
2014,"San Diego, CA","0.107"
2014,"Pulaski, GA","0.128"
2014,"Lewisetta,VA","0.130"
2014,"Clearwater Beach, FL","0.104"
2014,"Rockport, TX","0.032"
2015,"Honolulu, HI","0.036"
2015,"Seavy Island, ME","-0.003"
2015,"South Beach, OR","0.095"
2015,"Waveland, MS","0.099"
2015,"Lewisetta,VA","0.100"
2015,"Rockport, TX","0.083"
2015,"San Diego, CA","0.148"
2015,"Clearwater Beach, FL","0.137"
2015,"Pulaski, GA","0.139"
2015,"Dauphin Island, AL","0.103"
2016,"Seavy Island, ME","0.038"
2016,"Clearwater Beach, FL","0.142"
2016,"South Beach, OR","0.098"
2016,"Pulaski, GA","0.145"
2016,"Dauphin Island, AL","0.173"
2016,"Lewisetta,VA","0.132"
2016,"San Diego, CA","0.084"
2016,"Rockport, TX","0.182"
2016,"Waveland, MS","0.142"
2016,"Honolulu, HI","0.089"
2017,"Clearwater Beach, FL","0.116"
2017,"Dauphin Island, AL","0.151"
2017,"Honolulu, HI","0.131"
2017,"Lewisetta,VA","0.148"
2017,"Seavy Island, ME","0.058"
2017,"Waveland, MS","0.133"
2017,"San Diego, CA","0.093"
2017,"South Beach, OR","0.089"
2017,"Pulaski, GA","0.098"
2017,"Rockport, TX","0.142"
2018,"Seavy Island, ME","0.046"
2018,"Rockport, TX","0.132"
2018,"San Diego, CA","0.093"
2018,"Dauphin Island, AL","0.143"
2018,"Pulaski, GA","0.088"
2018,"Honolulu, HI","0.067"
2018,"Waveland, MS","0.113"
2018,"South Beach, OR","0.035"
2018,"Clearwater Beach, FL","0.108"
2018,"Lewisetta,VA","0.186"
2019,"Pulaski, GA","0.189"
2019,"South Beach, OR","0.072"
2019,"Dauphin Island, AL","0.203"
2019,"Honolulu, HI","0.078"
2019,"Rockport, TX","0.187"
2019,"Clearwater Beach, FL","0.173"
2019,"Lewisetta,VA","0.229"
2019,"San Diego, CA","0.083"
2019,"Seavy Island, ME","0.093"
2019,"Waveland, MS","0.172"
2020,"Dauphin Island, AL","0.217"
2020,"San Diego, CA","0.072"
2020,"Honolulu, HI","0.144"
2020,"Seavy Island, ME","0.054"
2020,"Waveland, MS","0.167"
2020,"Pulaski, GA","0.169"
2020,"Clearwater Beach, FL","0.160"
2020,"Lewisetta,VA","0.222"
2020,"South Beach, OR","0.043"
2020,"Rockport, TX","0.174"
2021,"Lewisetta,VA","0.204"
2021,"San Diego, CA","0.073"
2021,"Waveland, MS","0.153"
2021,"Clearwater Beach, FL","0.139"
2021,"Dauphin Island, AL","0.165"
2021,"Pulaski, GA","0.157"
2021,"South Beach, OR","0.023"
2021,"Honolulu, HI","0.102"
2021,"Rockport, TX","0.149"
2021,"Seavy Island, ME","0.042"
